gene,local_uniprot,local_protein_name,local_ec_number,local_mass_da,local_organism
GA0070618_0122,A0A1C4U953,Glycosyl transferases group 1,,60070,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0123,A0A1C4U937,Mannosyltransferase (PIG-V),,41484,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0124,A0A1C4U990,Predicted dehydrogenase,,36796,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0125,A0A1C4U9A6,"dTDP-4-amino-4,6-dideoxygalactose transaminase",,39188,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0126,A0A1C4U9F3,"Transcriptional regulator, TetR family",,23165,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0127,A0A1C4U9D1,Transport permease protein,,32840,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0128,A0A1C4U9I3,Teichoic acid transport system ATP-binding protein,,28833,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0129,A0A1C4U9I1,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT),2.7.7.60,55477,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0130,A0A1C4U9H5,CDP-Glycerol:Poly(Glycerophosphate) glycerophosphotransferase,,59904,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0131,A0A1C4U9I4,Peptidase_C39 like family protein,,29105,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0132,A0A1C4U9M0,AP2/ERF domain-containing protein,,27998,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0133,A0A1C4U9L6,Uncharacterized protein,,15298,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0134,A0A1C4U9P3,"Peptidoglycan/LPS O-acetylase OafA/YrhL, contains acyltransferase and SGNH-hydrolase domains",,46898,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0135,A0A1C4U9K1,DNA-N1-methyladenine dioxygenase,,23064,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0136,A0A1C4U9Q9,Uracil-xanthine permease,,45463,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0137,A0A1C4U9T3,DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.2),5.6.2.2,89294,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0138,A0A1C4U9X3,DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.2),5.6.2.2,75085,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0139,A0A1C4U9Q0,GDSL-like Lipase/Acylhydrolase family protein,,43759,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0140,A0A1C4U9X2,"Transcriptional regulator, BadM/Rrf2 family",,15209,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0142,A0A1C4U9S9,Glycosyltransferase involved in cell wall bisynthesis,,42954,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0143,A0A1C4U9U1,Uncharacterized protein,,22211,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0144,A0A1C4U9W2,Uncharacterized protein,,8235,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0145,A0A1C4UA65,Uncharacterized protein,,13204,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0146,A0A1C4UA44,"Uncharacterized conserved protein YecE, DUF72 family",,33917,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0147,A0A1C4UA22,Damage-inducible protein DinB,,18555,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0148,A0A1C4UA18,Uncharacterized protein,,9369,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0149,A0A1C4UA80,Uncharacterized protein,,33308,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0150,A0A1C4UAA0,FAR-17a/AIG1-like protein,,25216,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0151,A0A1C4UA57,"Glycogen debranching enzyme (Alpha-1,6-glucosidase)",,76926,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0152,A0A1C4UA75,SCP-2 sterol transfer family protein,,14761,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0153,A0A1C4UAE4,alcohol dehydrogenase (EC 1.1.1.1),1.1.1.1,35915,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0154,A0A1C4UAD8,2'-5' RNA ligase superfamily protein,,18706,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0155,A0A1C4UAB6,"PemK-like, MazF-like toxin of type II toxin-antitoxin system",,18239,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0156,A0A1C4UAD2,Rhodopirellula transposase DDE domain-containing protein,,38196,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0157,A0A1C4UAF6,Enterobactin synthetase component F,,141905,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0158,A0A1C4UAF4,Fatty acid desaturase,,35471,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0159,A0A1C4UAM3,"Predicted N-acyltransferase, GNAT family",,23676,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0160,A0A1C4UAR3,Putrescine aminotransferase,,62024,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0161,A0A1C4UAK1,Long-chain acyl-CoA synthetase (AMP-forming),,53733,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0162,A0A1C4UAK4,Amidohydrolase-related domain-containing protein,,34303,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0163,A0A1C4UAR0,Phosphopantetheine attachment site,,9372,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0164,A0A1C4UAT3,Amidohydrolase-related domain-containing protein,,33906,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0165,A0A1C4UAQ0,Phenylalanine 4-hydroxylase,,32914,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0166,A0A1C4UAZ0,Cytochrome P450,,46450,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0167,A0A1C4UAV5,O-methyltransferase,,37409,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0168,A0A1C4UAY9,Amino acid adenylation domain-containing protein,,113237,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0169,A0A1C4UAY5,Thioesterase domain-containing protein,,30920,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0170,A0A1C4UB15,"MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein",,41084,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0171,A0A1C4UAX5,Protein-tyrosine phosphatase,,16090,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0172,A0A1C4UB34,Uncharacterized protein,,41112,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0173,A0A1C4UB76,Uncharacterized protein,,4782,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0174,A0A1C4UB60,DoxX-like family protein,,12946,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0175,A0A1C4UB77,DUF2087 domain-containing protein,,20703,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0176,A0A1C4UB73,"Uncharacterized conserved protein, DUF952 family",,13155,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0177,A0A1C4UBB0,Uncharacterized protein,,16590,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0178,A0A1C4UB70,Subtilisin inhibitor-like,,15963,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0179,A0A1C4UB95,"Drug resistance transporter, EmrB/QacA subfamily",,50619,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0180,A0A1C4UB93,"NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains",,26106,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0181,A0A1C4UBE8,Lysine N-acyltransferase MbtK (Mycobactin synthase protein K),,21047,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0182,A0A1C4UBD2,DUF4838 domain-containing protein,,57908,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0183,A0A1C4UBI1,YCII-related domain-containing protein,,10592,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0184,A0A1C4UBJ1,Transcriptional regulator,,47974,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0185,A0A1C4UBK7,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family",,27315,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0186,A0A1C4UBP5,Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1),1.2.4.1,34605,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0187,A0A1C4UBP0,Pyruvate dehydrogenase E1 component alpha subunit,,32654,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0188,A0A1C4UBK5,Galactonate dehydratase,,40105,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0189,A0A1C4UBP8,L-rhamnose mutarotase,,14612,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0190,A0A1C4UBU6,"Carbohydrate ABC transporter membrane protein 2, CUT1 family (TC 3.A.1.1.-)",,29853,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0191,A0A1C4UBT8,Multiple sugar transport system permease protein,,34766,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0192,A0A1C4UBT5,Multiple sugar transport system substrate-binding protein,,46507,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0193,A0A1C4UBV5,Predicted dehydrogenase,,35390,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0194,A0A1C4UBX2,Amidohydrolase,,43257,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0195,A0A1C4UBU3,L-fuconolactonase,,29117,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0196,A0A1C4UC00,FG-GAP repeat protein,,50390,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0197,A0A1C4UC28,"Uncharacterized conserved protein, DUF1501 family",,43966,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0198,A0A1C4UC22,"Uncharacterized conserved protein, DUF1800 family",,46860,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0199,A0A1C4UBY9,"Protein N-acetyltransferase, RimJ/RimL family",,18675,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0200,A0A1C4UC62,Uncharacterized protein,,20886,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0201,A0A1C4UC30,Methyltransferase,,57215,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0202,A0A1C4UC94,2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase,,37949,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0203,A0A1C4UCA3,"Transcriptional regulator, GntR family",,25615,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0204,A0A1C4UCB6,5-dehydro-2-deoxygluconokinase,,32500,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0205,A0A1C4UCA5,Threonine dehydrogenase,,35199,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0206,A0A1C4UCE5,Multiple sugar transport system permease protein,,29791,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0207,A0A1C4UCG5,"Carbohydrate ABC transporter membrane protein 1, CUT1 family",,34293,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0208,A0A1C4UCH1,"Carbohydrate ABC transporter substrate-binding protein, CUT1 family",,45993,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0209,A0A1C4UCI9,6-phosphofructokinase 1,,38808,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0210,A0A1C4UCH7,Succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase,,49854,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0211,A0A1C4UCG3,L-alanine-DL-glutamate epimerase,,43349,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_0212,A0A1C4UCI2,"Transcriptional regulator, DeoR family",,27359,Micromonospora echinospora (Micromonospora purpurea)
